Player,Birth Date
Freddie Crawford,December 23 1941
Jamal Crawford,March 20 1980
Joe Crawford,June 17 1986
Jordan Crawford,October 23 1988
Mitch Creek,April 27 1992
Jim Creighton,April 18 1950
Ron Crevier,April 14 1958
Hal Crisler,December 31 1923
Joe Crispin,July 18 1979
Charlie Criss,November 6 1948
Russell Critchfield,June 27 1946
Winston Crite,June 20 1965
Javaris Crittenton,December 31 1987
Dillard Crocker,January 19 1925
Bobby Croft,March 17 1946
Geoff Crompton,July 4 1955
Terry Crosby,January 4 1957
Austin Croshere,May 1 1975
Jeff Cross,September 1 1961
Pete Cross,March 28 1948
Russell Cross,September 5 1961
Chink Crossin,July 4 1923
John Crotty,July 15 1969
Bill Crow,December 9 1940
Mark Crow,October 22 1954
Corey Crowder,April 13 1969
Jae Crowder,July 6 1990
Al Cueto,August 2 1946
Jarrett Culver,February 20 1999
Jarron Cumberland,September 22 1997
Pat Cummings,July 11 1956
Terry Cummings,March 15 1961
Vonteego Cummings,February 29 1976
Billy Cunningham*,June 3 1943
Cade Cunningham,September 25 2001
Dante Cunningham,April 22 1987
Dick Cunningham,July 11 1946
Jared Cunningham,May 22 1991
William Cunningham,March 25 1974
Radisav ?ur?i?,September 26 1965
Armand Cure,August 1 1919
Earl Cureton,September 3 1957
Bill Curley,May 29 1972
Fran Curran,September 9 1922
Dell Curry,June 25 1964
Eddy Curry,December 5 1982
JamesOn Curry,January 7 1986
Michael Curry,August 22 1968
Seth Curry,August 23 1990
Stephen Curry,March 14 1988
Rastko Cvetkovi?,June 22 1970
Mike D'Antoni,May 8 1951
Mike Dabich,December 27 1942
Ed Dahler,January 31 1926
Quintin Dailey,January 22 1961
Samuel Dalembert,May 10 1981
Howie Dallmar,May 24 1922
Erick Dampier,July 14 1975
Louie Dampier*,November 20 1944
Bob Dandridge*,November 15 1947
Antonio Daniels,March 19 1975
Erik Daniels,April 1 1982
Lloyd Daniels,September 4 1967
Marquis Daniels,January 7 1981
Mel Daniels*,July 20 1944
Troy Daniels,July 15 1991
Sasha Danilovi?,February 26 1970
Adrian Dantley*,February 28 1955
Pete Darcey,March 3 1930
Jimmy Darden,June 19 1922
Ollie Darden,July 28 1944
Yinka Dare,October 10 1972
Jesse Dark,September 2 1951
Nate Darling,August 30 1998
Rick Darnell,January 1 1953
Jimmy Darrow,September 25 1937
Gigi Datome,November 27 1987
Brad Daugherty,October 19 1965
Mack Daughtry,July 20 1946
Kornél Dávid,October 22 1971
Jermareo Davidson,November 15 1984
Bob Davies*,January 15 1920
Brandon Davies,July 25 1991
Anthony Davis,March 11 1993
Antonio Davis,October 31 1968
Aubrey Davis,March 28 1921
Baron Davis,April 13 1979
Ben Davis,December 26 1972
Bill Davis,October 3 1920
Bob Davis,April 2 1950
Brad Davis,December 17 1955
Brian Davis,June 21 1970
Charles Davis,October 5 1958
Charlie Davis,September 7 1949
Dale Davis,March 25 1969
Deyonta Davis,December 2 1996
Dwight Davis,October 28 1949
Ed Davis,June 5 1989
Emanual Davis,August 27 1968
Glen Davis,January 1 1986
Harry Davis,January 27 1956
Hubert Davis,May 17 1970
Jim Davis,December 18 1941
Johnny Davis,October 21 1955
Josh Davis,August 10 1980
Lee Davis,October 11 1945
Mark Davis,June 8 1963
Mark Davis,April 26 1973
Mel Davis,November 9 1950
Mickey Davis,June 16 1950
Mike Davis,July 26 1946
Mike Davis,August 2 1956
Monti Davis,July 26 1958
Paul Davis,July 21 1984
Ralph Davis,September 7 1938
Red Davis,April 22 1932
Ricky Davis,September 23 1979
Ron Davis,May 1 1954
Terence Davis,May 16 1997
Terry Davis,June 17 1967
Tyler Davis,May 22 1997
Walt Davis,January 5 1931
Walter Davis,September 9 1954
Warren Davis,June 30 1943
Willie Davis,August 9 1945
Andre Dawkins,September 19 1991
Darryl Dawkins,January 11 1957
Johnny Dawkins,September 28 1963
Paul Dawkins,June 10 1957
Branden Dawson,February 1 1993
Eric Dawson,July 7 1984
Jimmy Dawson,April 18 1945
Tony Dawson,August 25 1967
Todd Day,January 7 1970
Austin Daye,June 5 1988
Darren Daye,November 30 1960
Nando De Colo,June 23 1987
Billy DeAngelis,October 5 1946
Dave DeBusschere*,October 16 1940
Andrew DeClercq,February 1 1973
Javin DeLaurier,April 7 1998
Nate DeLong,January 5 1926
Joe DePre,December 19 1947
DeMar DeRozan,August 7 1989
Hank DeZonie,February 12 1922
Greg Deane,December 6 1957
Gabriel Deck,February 8 1995
Dewayne Dedmon,August 12 1989
Don Dee,August 9 1943
Archie Dees,February 22 1936
Terry Dehere,September 12 1971
Red Dehnert,January 24 1924
Bryce Dejean-Jones,August 21 1992
Sam Dekker,May 6 1994
Vinny Del Negro,August 9 1966
Malcolm Delaney,March 11 1989
Bison Dele,April 6 1969
Carlos Delfino,August 29 1982
Ángel Delgado,November 20 1994
Tony Delk,January 28 1974
Matthew Dellavedova,September 8 1990
Fennis Dembo,January 24 1966
Larry Demic,June 27 1957
Dell Demps,February 12 1970
George Dempsey,July 19 1929
Luol Deng,April 16 1985
Kenny Dennard,October 18 1958
Blaine Denning,September 19 1930
Justin Dentmon,September 5 1985
Randy Denton,February 18 1949
Rod Derline,March 11 1952
Marcus Derrickson,February 1 1996
Dave Deutsch,May 13 1945
Corky Devlin,December 21 1931
Ernie DiGregorio,January 15 1951
Donte DiVincenzo,January 31 1997
Mamadi Diakite,January 21 1997
Derrick Dial,December 20 1975
Cheick Diallo,September 13 1996
Hamidou Diallo,July 31 1998
Boris Diaw,April 16 1982
Yakhouba Diawara,August 29 1982
Guillermo Díaz,March 4 1985
Dan Dickau,September 16 1978
Kaniel Dickens,July 21 1978
Henry Dickerson,November 27 1951
Michael Dickerson,June 25 1975
Clyde Dickey,December 14 1951
Derrek Dickey,March 20 1951
Dick Dickey,October 26 1926
John Dickson,November 18 1945
Travis Diener,March 1 1982
Gorgui Dieng,January 18 1990
Connie Dierking,October 2 1936
Coby Dietrick,July 23 1948
Craig Dill,December 17 1944
Dwaine Dillard,March 9 1949
Mickey Dillard,October 15 1958
Bob Dille,July 2 1917
Hook Dillon,January 8 1924
Byron Dinkins,June 15 1967
Jackie Dinkins,January 22 1950
Harry Dinnel,October 9 1940
Bill Dinwiddie,July 15 1943
Spencer Dinwiddie,April 6 1993
Ike Diogu,September 11 1983
DeSagana Diop,January 30 1982
Terry Dischinger,November 21 1940
Fred Diute,January 9 1929
Vlade Divac*,February 3 1968
Juan Dixon,October 9 1978
Earl Dodd,November 1 1924
Michael Doleac,June 15 1977
Joe Dolhon,July 9 1927
Bob Doll,August 10 1919
James Donaldson,August 16 1957
Luka Don?i?,February 28 1999
Bob Donham,October 11 1926
Billy Donovan,May 30 1965
Harry Donovan,September 10 1926
Keyon Dooling,May 8 1980
Aleksandar Djordjevic,August 26 1967
Jacky Dorsey,December 18 1954
Joey Dorsey,December 16 1983
Ron Dorsey,October 10 1948
Tyler Dorsey,February 18 1996
Luguentz Dort,April 19 1999
Ayo Dosunmu,January 17 2000
Damyean Dotson,May 6 1994
Devon Dotson,August 2 1999
Quincy Douby,May 16 1984
Bruce Douglas,April 9 1964
John Douglas,June 12 1956
Leon Douglas,August 26 1954
Sherman Douglas,September 15 1966
Toney Douglas,March 16 1986
Chris Douglas-Roberts,January 8 1987
Sekou Doumbouya,December 23 2000
Sonny Dove,August 16 1945
Jerry Dover,October 16 1949
Zabian Dowdell,September 10 1984
Bill Downey,November 11 1923
Steve Downing,September 9 1950
Jeff Dowtin,May 10 1997
Danny Doyle,February 6 1940
Milton Doyle,October 31 1993
PJ Dozier,October 25 1996
Terry Dozier,June 29 1966
Goran Dragi?,May 6 1986
Zoran Dragi?,June 22 1989
Greg Dreiling,November 7 1962
Bryce Drew,September 21 1974
John Drew,September 30 1954
Larry Drew,April 2 1958
Larry Drew II,March 5 1990
Clyde Drexler*,June 22 1962
Nate Driggers,October 12 1973
Terry Driscoll,August 28 1947
Predrag Drobnjak,October 27 1975
Ralph Drollinger,April 20 1954
Andre Drummond,August 10 1993
Dennis DuVal,March 31 1952
Chris Duarte,June 13 1997
Dick Duckett,March 25 1933
Kevin Duckworth,April 1 1964
Charles Dudley,March 5 1950
Chris Dudley,February 22 1965
Jared Dudley,July 10 1985
Terry Duerod,July 29 1956
Bob Duffy,July 5 1922
Bob Duffy,September 26 1940
Chris Duhon,August 31 1982
Duje Dukan,December 4 1991
David Duke Jr.,October 13 1999
Walter Dukes,June 23 1930
Joe Dumars*,May 24 1963
Rich Dumas,April 21 1944
Richard Dumas,May 19 1969
Tony Dumas,August 25 1972
Andy Duncan,April 17 1922
Tim Duncan*,April 25 1976
Mike Dunleavy,March 21 1954
Mike Dunleavy,September 15 1980
Kris Dunn,March 18 1994
Pat Dunn,March 17 1931
T.R. Dunn,February 1 1955
Ronald Dupree,January 26 1981
Kevin Durant,September 29 1988
John Duren,October 30 1958
Jarrett Durham,August 22 1949
Pat Durham,March 10 1967
Devin Durrant,October 20 1960
Ken Durrett,December 8 1948
Trevon Duval,August 3 1998
Jack Dwan,May 3 1921
Craig Dykema,June 11 1959
Gene Dyker,February 17 1930
Jerome Dyson,May 1 1987
Ledell Eackles,November 24 1966
Jim Eakins,May 24 1946
Acie Earl,June 23 1970
Ed Earle,April 28 1927
Cleanthony Early,April 17 1991
Penny Early,May 30 1943
Mark Eaton,January 24 1957
Jerry Eaves,February 8 1959
Devin Ebanks,October 28 1989
Bill Ebben,October 7 1935
Al Eberhard,May 10 1952
Ndudi Ebi,June 18 1984
Roy Ebron,August 31 1951
Jaime Echenique,April 27 1997
Jarell Eddie,October 30 1991
Patrick Eddie,December 27 1967
Dike Eddleman,December 27 1922
Kenton Edelin,May 24 1962
Charles Edge,February 23 1950
Bobby Edmonds,March 8 1941
Keith Edmonson,September 28 1960
Tyus Edney,February 14 1973
Anthony Edwards,August 5 2001
Bill Edwards,September 22 1971
Blue Edwards,October 31 1965
Carsen Edwards,March 12 1998
Corsley Edwards,March 5 1979
Doug Edwards,January 21 1971
Franklin Edwards,February 2 1959
James Edwards,November 22 1955
Jay Edwards,January 3 1969
John Edwards,July 31 1981
Kessler Edwards,August 9 2000
Kevin Edwards,October 30 1965
Rob Edwards,January 20 1997
Shane Edwards,May 31 1987
Vince Edwards,April 5 1996
Johnny Egan,January 31 1939
Lonnie Eggleston,June 8 1918
Bulbs Ehlers,March 10 1923
Craig Ehlo,August 11 1961
Rich Eichhorst,October 21 1933
Howard Eisley,December 4 1972
Obinna Ekezie,August 22 1975
Khalid El-Amin,April 25 1979
Don Eliason,July 24 1918
Mario Elie,November 26 1963
CJ Elleby,June 16 2000
Ray Ellefson,November 18 1922
Henry Ellenson,January 13 1997
Wayne Ellington,November 29 1987
Bob Elliott,August 18 1955
Sean Elliott,February 2 1968
Bo Ellis,August 8 1954
Boo Ellis,February 11 1936
Dale Ellis,August 6 1960
Harold Ellis,October 7 1970
Joe Ellis,May 3 1944
LaPhonso Ellis,May 5 1970
LeRon Ellis,April 28 1969
Leroy Ellis,March 10 1940
Monta Ellis,October 26 1985
Pervis Ellison,April 3 1967
Len Elmore,March 28 1952
Francisco Elson,February 28 1976
Darrell Elston,August 15 1952
Melvin Ely,May 2 1978
Joel Embiid,March 16 1994
Wayne Embry*,March 26 1937
Andre Emmett,August 27 1982
Ned Endress,March 2 1918
Wayne Engelstad,December 6 1965
Chris Engler,March 1 1959
A.J. English,July 11 1967
Alex English*,January 5 1954
Claude English,December 26 1946
Jo Jo English,February 4 1970
Kim English,September 24 1988
Scott English,October 20 1950
Gene Englund,October 21 1917
James Ennis III,July 1 1990
Tyler Ennis,August 24 1994
Ray Epps,August 20 1956
Semih Erden,July 28 1986
Bo Erias,July 30 1932
Keith Erickson,April 19 1944
Julius Erving*,February 22 1950
Evan Eschmeyer,May 30 1975
Jack Eskridge,January 21 1924
Vincenzo Esposito,March 1 1969
Drew Eubanks,February 1 1997
Billy Evans,March 3 1947
Bob Evans,May 31 1925
Brian Evans,September 13 1973
Earl Evans,November 11 1955
Jacob Evans,June 18 1997
Jawun Evans,July 26 1996
Jeremy Evans,October 24 1987
Maurice Evans,November 8 1978
Mike Evans,April 19 1955
Reggie Evans,May 18 1980
Tyreke Evans,September 19 1989
Daniel Ewing,March 26 1983
Patrick Ewing*,August 5 1962
Patrick Ewing,May 20 1984
Dante Exum,July 13 1995
Christian Eyenga,June 22 1989
Festus Ezeli,October 21 1989
Johnny Ezersky,March 21 1922
Ledell Eackles,November 24 1966
Jim Eakins,May 24 1946
Acie Earl,June 23 1970
Ed Earle,April 28 1927
Cleanthony Early,April 17 1991
Penny Early,May 30 1943
Mark Eaton,January 24 1957
Jerry Eaves,February 8 1959
Devin Ebanks,October 28 1989
Bill Ebben,October 7 1935
Al Eberhard,May 10 1952
Ndudi Ebi,June 18 1984
Roy Ebron,August 31 1951
Jaime Echenique,April 27 1997
Jarell Eddie,October 30 1991
Patrick Eddie,December 27 1967
Dike Eddleman,December 27 1922
Kenton Edelin,May 24 1962
Charles Edge,February 23 1950
Bobby Edmonds,March 8 1941
Keith Edmonson,September 28 1960
Tyus Edney,February 14 1973
Anthony Edwards,August 5 2001
Bill Edwards,September 22 1971
Blue Edwards,October 31 1965
Carsen Edwards,March 12 1998
Corsley Edwards,March 5 1979
Doug Edwards,January 21 1971
Franklin Edwards,February 2 1959
James Edwards,November 22 1955
Jay Edwards,January 3 1969
John Edwards,July 31 1981
Kessler Edwards,August 9 2000
Kevin Edwards,October 30 1965
Rob Edwards,January 20 1997
Shane Edwards,May 31 1987
Vince Edwards,April 5 1996
Johnny Egan,January 31 1939
Lonnie Eggleston,June 8 1918
Bulbs Ehlers,March 10 1923
Craig Ehlo,August 11 1961
Rich Eichhorst,October 21 1933
Howard Eisley,December 4 1972
Obinna Ekezie,August 22 1975
Khalid El-Amin,April 25 1979
Don Eliason,July 24 1918
Mario Elie,November 26 1963
CJ Elleby,June 16 2000
Ray Ellefson,November 18 1922
Henry Ellenson,January 13 1997
Wayne Ellington,November 29 1987
Bob Elliott,August 18 1955
Sean Elliott,February 2 1968
Bo Ellis,August 8 1954
Boo Ellis,February 11 1936
Dale Ellis,August 6 1960
Harold Ellis,October 7 1970
Joe Ellis,May 3 1944
LaPhonso Ellis,May 5 1970
LeRon Ellis,April 28 1969
Leroy Ellis,March 10 1940
Monta Ellis,October 26 1985
Pervis Ellison,April 3 1967
Len Elmore,March 28 1952
Francisco Elson,February 28 1976
Darrell Elston,August 15 1952
Melvin Ely,May 2 1978
Joel Embiid,March 16 1994
Wayne Embry*,March 26 1937
Andre Emmett,August 27 1982
Ned Endress,March 2 1918
Wayne Engelstad,December 6 1965
Chris Engler,March 1 1959
A.J. English,July 11 1967
Alex English*,January 5 1954
Claude English,December 26 1946
Jo Jo English,February 4 1970
Kim English,September 24 1988
Scott English,October 20 1950
Gene Englund,October 21 1917
James Ennis III,July 1 1990
Tyler Ennis,August 24 1994
Ray Epps,August 20 1956
Semih Erden,July 28 1986
Bo Erias,July 30 1932
Keith Erickson,April 19 1944
Julius Erving*,February 22 1950
Evan Eschmeyer,May 30 1975
Jack Eskridge,January 21 1924
Vincenzo Esposito,March 1 1969
Drew Eubanks,February 1 1997
Billy Evans,March 3 1947
Bob Evans,May 31 1925
Brian Evans,September 13 1973
Earl Evans,November 11 1955
Jacob Evans,June 18 1997
Jawun Evans,July 26 1996
Jeremy Evans,October 24 1987
Maurice Evans,November 8 1978
Mike Evans,April 19 1955
Reggie Evans,May 18 1980
Tyreke Evans,September 19 1989
Daniel Ewing,March 26 1983
Patrick Ewing*,August 5 1962
Patrick Ewing,May 20 1984
Dante Exum,July 13 1995
Christian Eyenga,June 22 1989
Festus Ezeli,October 21 1989
Johnny Ezersky,March 21 1922
Bill Gabor,May 13 1922
Wenyen Gabriel,March 26 1997
Dan Gadzuric,February 2 1978
Daniel Gafford,October 1 1998
Deng Gai,March 22 1982
Elmer Gainer,November 22 1918
Bill Gaines,March 10 1946
Corey Gaines,June 1 1965
Reece Gaines,January 7 1981
Smokey Gaines,February 27 1940
Sundiata Gaines,April 18 1986
Mike Gale,July 18 1950
Chad Gallagher,May 30 1969
Harry Gallatin*,April 26 1927
Gene Gallette,February 22 1919
Danilo Gallinari,August 8 1988
Langston Galloway,December 9 1991
Dave Gambee,April 16 1937
Kevin Gamble,November 13 1965
Bob Gantt,June 22 1922
Jorge Garbajosa,December 19 1977
Rubén Garcés,October 17 1973
Alex Garcia,March 4 1980
Francisco García,December 31 1981
Chuck Gardner,September 30 1944
Earl Gardner,September 18 1923
Kenneth Gardner,September 27 1949
Thomas Gardner,February 8 1985
Vern Gardner,May 14 1925
Jack Garfinkel,June 13 1918
Patricio Garino,May 17 1993
Darius Garland,January 26 2000
Gary Garland,October 12 1957
Winston Garland,December 19 1964
Dick Garmaker,October 29 1932
Bill Garner,June 17 1940
Chris Garner,February 2 1975
Bill Garnett,April 22 1960
Kevin Garnett*,May 19 1976
Marlon Garnett,July 3 1975
Billy Garrett,October 16 1994
Calvin Garrett,July 11 1956
Dean Garrett,November 27 1966
Diante Garrett,November 3 1988
Dick Garrett,January 31 1947
Marcus Garrett,November 9 1998
Rowland Garrett,July 16 1950
Tom Garrick,July 7 1966
John Garris,June 6 1959
Kiwane Lemorris Garris,September 24 1974
Pat Garrity,August 23 1976
Usman Garuba,March 9 2002
Jim Garvin,February 5 1950
Luka Garza,December 27 1998
Marc Gasol,January 29 1985
Pau Gasol,July 6 1980
Frank Gates,April 12 1920
Chris Gatling,September 3 1967
Kenny Gattison,May 23 1964
Rudy Gay,August 17 1986
Ed Gayda,May 16 1927
Andrew Gaze,July 24 1965
Michael Gbinije,June 5 1992
Reggie Geary,August 31 1973
Alonzo Gee,May 29 1987
Matt Geiger,September 10 1969
Mickaël Gelabale,May 22 1983
Devean George,August 29 1977
Jack George,November 13 1928
Paul George,May 2 1990
Tate George,May 29 1968
Marcus Georges-Hunt,March 28 1994
Gus Gerard,July 27 1953
Derrick Gervin,March 28 1963
George Gervin*,April 27 1952
Gorham Getchell,August 14 1920
John Gianelli,June 10 1950
Dick Gibbs,December 20 1948
Daniel Gibson,February 27 1986
Dee Gibson,August 25 1923
Hoot Gibson,December 5 1921
Jonathan Gibson,November 8 1987
Mel Gibson,December 30 1940
Mike Gibson,October 27 1960
Taj Gibson,June 24 1985
J.R. Giddens,February 13 1985
Josh Giddey,October 10 2002
Trey Gilder,January 24 1985
Harry Giles,April 22 1998
Shai Gilgeous-Alexander,July 12 1998
Anthony Gill,October 17 1992
Eddie Gill,August 16 1978
Kendall Gill,May 25 1968
Ben Gillery,September 19 1965
Freddie Gillespie,June 14 1997
Jack Gillespie,October 1 1947
Armen Gilliam,May 28 1964
Herm Gilliam,May 5 1946
Artis Gilmore*,September 21 1949
Walt Gilmore,February 27 1947
Chuck Gilmur,August 13 1922
Manu Ginóbili*,July 28 1977
Gordan Giri?ek,June 20 1977
Jack Givens,September 21 1956
Mickell Gladness,July 26 1986
George Glamack,June 7 1918
Gerald Glass,November 12 1967
Mike Glenn,September 10 1955
Normie Glick,November 10 1927
Georgi Glouchkov,January 10 1960
Clarence Glover,November 1 1947
Dion Glover,October 22 1978
Andreas Glyniadakis,August 21 1981
Mike Gminski,August 3 1959
Rudy Gobert,June 26 1992
Dan Godfread,June 14 1967
Tom Gola*,January 13 1933
Ben Goldfaden,September 6 1913
Anthony Goldwire,September 6 1971
Ryan Gomes,September 1 1982
Glen Gondrezick,August 30 1955
Grant Gondrezick,January 19 1963
Drew Gooden,September 24 1981
Gail Goodrich*,April 23 1943
Steve Goodrich,March 18 1976
Archie Goodwin,August 17 1994
Brandon Goodwin,October 2 1995
Jordan Goodwin,October 23 1998
Pop Goodwin,December 22 1920
Aaron Gordon,September 16 1995
Ben Gordon,April 4 1983
Drew Gordon,July 12 1990
Eric Gordon,December 25 1988
Lancaster Gordon,June 24 1962
Paul Gordon,April 8 1927
Marcin Gortat,February 17 1984
Leo Gottlieb,November 28 1920
Andrew Goudelock,December 7 1988
Gerald Govan,January 2 1942
Bato Govedarica,April 17 1928
Joe Graboski,January 15 1930
Ricky Grace,August 20 1967
Calvin Graham,June 7 1944
Devonte' Graham,February 22 1995
Greg Graham,November 26 1970
Joey Graham,June 11 1982
Mal Graham,February 23 1945
Orlando Graham,May 5 1965
Paul Graham,November 28 1967
Stephen Graham,June 11 1982
Treveon Graham,October 28 1993
Jim Grandholm,October 4 1960
Ron Grandison,July 9 1964
Danny Granger,April 20 1983
Stewart Granger,October 27 1961
Brian Grant,March 5 1972
Bud Grant,May 20 1927
Gary Grant,April 21 1965
Greg Grant,August 29 1966
Harvey Grant,July 4 1965
Horace Grant,July 4 1965
Jerami Grant,March 12 1994
Jerian Grant,October 9 1992
Josh Grant,August 7 1967
Paul Grant,January 6 1974
Travis Grant,January 1 1950
Donte Grantham,March 19 1995
Don Grate,August 27 1923
Butch Graves,January 5 1962
Hassani Gravett,July 16 1996
Aaron Gray,December 7 1984
Devin Gray,May 31 1972
Ed Gray,September 27 1975
Evric Gray,December 13 1969
Gary Gray,February 23 1945
Josh Gray,September 9 1993
Leonard Gray,December 19 1951
Stuart Gray,May 27 1963
Sylvester Gray,July 8 1967
Wyndol Gray,March 20 1922
Jeff Grayer,December 17 1965
Bob Greacen,September 15 1947
A.C. Green,October 4 1963
Danny Green,June 22 1987
Devin Green,October 25 1982
Draymond Green,March 4 1990
Erick Green,May 9 1991
Gerald Green,January 26 1986
Jalen Green,February 9 2002
JaMychal Green,June 21 1990
Javonte Green,July 23 1993
Jeff Green,August 28 1986
Johnny Green,December 8 1933
Josh Green,November 16 2000
Ken Green,September 19 1959
Kenny Green,October 11 1964
Lamar Green,March 22 1947
Litterial Green,March 7 1970
Luther Green,November 13 1946
Mike Green,August 6 1951
Rickey Green,August 18 1954
Sean Green,February 2 1970
Si Green,August 20 1933
Sidney Green,January 4 1961
Steve Green,October 4 1953
Taurean Green,November 28 1986
Tommie Green,April 8 1956
Willie Green,July 28 1981
Donté Greene,February 21 1988
Orien Greene,February 4 1982
Jerry Greenspan,November 22 1941
Dave Greenwood,May 27 1957
Hal Greer*,June 26 1936
Lynn Greer,October 23 1979
Gary Gregor,August 13 1945
Claude Gregory,December 26 1958
John Greig,April 28 1961
Norm Grekin,June 22 1930
Kevin Grevey,May 12 1953
Dennis Grey,August 26 1947
Adrian Griffin,July 4 1974
Blake Griffin,March 16 1989
Eddie Griffin,May 30 1982
Greg Griffin,September 6 1952
Paul Griffin,January 20 1954
Taylor Griffin,April 18 1986
Darrell Griffith,June 16 1958
Chuck Grigsby,August 15 1928
Quentin Grimes,May 8 2000
Derek Grimm,August 3 1974
Woody Grimshaw,September 24 1919
Dick Groat,November 4 1930
Bob Gross,August 3 1953
Mike Grosso,September 7 1947
Jerry Grote,December 28 1940
Alex Groza,October 7 1926
Dick Grubar,July 26 1947
Anthony Grundy,April 15 1979
Ernie Grunfeld,April 24 1955
Gene Guarilia,September 13 1937
Pétur Guðmundsson,October 30 1958
Marko Guduric,March 8 1995
Richie Guerin*,May 29 1932
Tom Gugliotta,December 19 1969
Andrés Guibert,October 28 1968
Jay Guidinger,August 18 1969
Coulby Gunther,February 5 1923
Dave Gunther,July 22 1937
Al Guokas,August 7 1925
Matt Guokas,November 11 1915
Matt Guokas,February 25 1944
Jorge Gutiérrez,December 27 1988
Kyle Guy,August 11 1997
A.J. Guyton,February 12 1978
Rui Hachimura,February 8 1998
Rudy Hackett,May 10 1953
Hamed Haddadi,May 19 1985
Jim Hadnot,January 15 1940
Scott Haffner,February 2 1966
Cliff Hagan*,December 9 1931
Glenn Hagan,June 25 1955
Tom Hagan,January 29 1947
Ashton Hagans,July 8 1999
Robert Hahn,August 25 1925
Al Hairston,December 11 1945
Happy Hairston,May 31 1942
Lindsay Hairston,December 8 1951
Malik Hairston,February 23 1987
P.J. Hairston,December 24 1992
Marcus Haislip,December 22 1980
Chick Halbert,February 27 1919
Swede Halbrook,January 30 1933
Bruce Hale,August 30 1918
Hal Hale,September 21 1945
Jack Haley,January 27 1964
Tyrese Haliburton,February 29 2000
Shaler Halimon,March 30 1945
Devon Hall,July 7 1995
Donta Hall,August 7 1997
Josh Hall,October 8 2000
Mike Hall,June 5 1984
Tyler Hall,March 25 1997
Jeff Halliburton,July 3 1949
Darvin Ham,July 23 1973
Steve Hamer,November 13 1973
Dale Hamilton,August 16 1919
Daniel Hamilton,August 8 1995
Dennis Hamilton,May 8 1944
Joe Hamilton,July 5 1948
Jordan Hamilton,October 6 1990
Justin Hamilton,April 1 1990
Ralph Hamilton,June 10 1921
Richard Hamilton,February 14 1978
Roy Hamilton,July 20 1957
Steve Hamilton,November 30 1934
Tang Hamilton,May 26 1978
Thomas Hamilton,April 3 1975
Zendon Hamilton,April 27 1975
Geert Hammink,July 12 1969
Julian Hammond,May 27 1943
Tom Hammonds,March 27 1967
A.J. Hammons,August 27 1992
Joe Hamood,September 7 1943
R.J. Hampton,February 7 2001
Darrin Hancock,November 3 1971
Ben Handlogten,November 16 1973
Cecil Hankins,January 6 1922
Phil Hankinson,July 26 1951
Dusty Hannahs,September 2 1993
Alex Hannum*,July 19 1923
Don Hanrahan,February 6 1929
Rollen Hans,April 13 1931
Ben Hansbrough,December 23 1987
Tyler Hansbrough,November 3 1985
Bob Hansen,January 18 1961
Glenn Hansen,April 21 1952
Lars Hansen,September 14 1954
Travis Hansen,April 15 1978
Reggie Hanson,October 6 1968
Bill Hanzlik,December 6 1957
Luke Harangody,January 2 1988
Anfernee Hardaway,July 18 1971
Tim Hardaway*,September 1 1966
Tim Hardaway Jr.,March 16 1992
James Harden,August 26 1989
Reggie Harding,May 4 1942
Charlie Hardnett,September 13 1938
Alan Hardy,May 25 1957
James Hardy,December 1 1956
Ira Harge,March 14 1941
John Hargis,August 20 1920
Maurice Harkless,May 11 1993
Jerry Harkness,May 7 1940
Skip Harlicka,October 14 1946
Jerome Harmon,February 6 1969
Derek Harper,October 13 1961
Jared Harper,September 14 1997
Justin Harper,August 30 1989
Mike Harper,December 9 1957
Ron Harper,January 20 1964
Matt Harpring,May 31 1976
Montrezl Harrell,January 26 1994
Josh Harrellson,February 12 1989
Adam Harrington,July 5 1980
Al Harrington,February 17 1980
Junior Harrington,October 2 1980
Othella Harrington,January 31 1974
Art Harris,January 13 1947
Bernie Harris,November 26 1950
Billy Harris,November 12 1951
Bob Harris,March 16 1927
Chris Harris,August 11 1933
Devin Harris,February 27 1983
Elias Harris,July 6 1989
Gary Harris,September 14 1994
Jalen Harris,August 14 1998
Joe Harris,September 6 1991
Lucious Harris,December 18 1970
Manny Harris,September 21 1989
Mike Harris,June 15 1983
Steve Harris,October 15 1963
Terrel Harris,August 10 1987
Tobias Harris,July 15 1992
Tony Harris,May 13 1967
Aaron Harrison,October 28 1994
Andrew Harrison,October 28 1994
Bob Harrison,August 12 1927
David Harrison,August 15 1982
Shaquille Harrison,October 6 1993
Jason Hart,April 29 1978
Josh Hart,March 6 1995
Isaiah Hartenstein,May 5 1998
Antonio Harvey,July 6 1970
Donnell Harvey,August 26 1980
Scott Haskin,September 19 1970
Clem Haskins,July 11 1943
Udonis Haslem,June 9 1980
Trenton Hassell,March 4 1979
Billy Hassett,October 21 1921
Joe Hassett,September 11 1955
Scott Hastings,June 3 1960
Kirk Haston,March 10 1979
Vern Hatton,January 13 1936
Sam Hauser,December 8 1997
John Havlicek*,April 8 1940
Spencer Hawes,April 28 1988
Steve Hawes,May 26 1950
Bubbles Hawkins,June 30 1954
Connie Hawkins*,July 17 1942
Hersey Hawkins,September 29 1966
Juaquin Hawkins,July 2 1973
Marshall Hawkins,August 3 1924
Michael Hawkins,October 28 1972
Tom Hawkins,December 22 1936
Nate Hawthorne,January 15 1950
Chuck Hayes,June 11 1983
